Entidad,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV,I,II,III,IV
Aguascalientes,37.227506,30.149539,715.223709,36.245318,207.444668,16.713762,27.090605,36.912208,30.499018,10.01089,104.21884,109.800198,8.704456,19.918236,41.422612,45.010214,24.92339,28.129128,29.652755,37.015363,85.608613,105.369238,169.375692,80.865581,89.868582,46.676646,-37.149216,34.346623,49.647842,40.273847,23.843835,26.538573,51.873918,90.583529,68.143619,199.972741,312.475655,-78.206315,48.819746,54.319453,256.167991,141.629156,36.981399,-92.649684,276.42064,4.950258,55.153595,-20.428686,287.9738183,-51.966266,-0.043569,-20.91288479,210.2964647,-31.333485,103.385926,69.949817,246.4424133,126.143176,74.993455,-86.25884,431.1092577,4.61556515,150.652204,42.02106929,406.4126874,84.26397641,49.51583199,152.155767,132.4955504,61.23706151,126.6403945,165.5161308,569.7246094,232.6092934,-114.7171075,444.3657851
Baja California,335.926038,296.702003,266.008745,339.932953,256.061199,263.8962263,230.277726,303.0263613,243.272466,265.279271,530.559019,286.759025,227.19752,546.626657,477.074291,284.017374,244.201274,232.956568,194.278086,427.3328326,426.147453,312.704858,294.9858556,331.815352,415.730334,296.2302358,310.0179928,320.4924358,304.1348717,314.4205928,324.3980394,383.615656,488.145028,260.598151,866.899891,173.5977561,324.2346274,566.15956,318.9081038,245.6977357,320.507422,165.190678,174.034363,164.6136492,358.077761,517.702199,250.4590019,314.488469,108.0495481,241.18665,293.205402,177.933097,326.3498895,66.85901402,286.501385,328.408013,244.0586176,432.358755,192.193016,424.844041,298.3375266,271.1129962,180.678772,381.58304,296.1467845,196.0639796,295.173972,406.1668298,593.7053627,298.5101369,210.1099627,398.5792542,539.7101003,587.6099427,145.8766342,167.1816153
Baja California Sur,20.696298,17.681988,24.562318,70.480613,25.701154,99.696236,21.044668,25.64874253,61.586352,32.055258,101.571641,47.35476818,73.472405,73.77824889,91.287095,90.5201558,23.608438,32.864176,35.35076,62.344474,94.022263,27.07039107,48.555664,57.82134349,217.508307,125.1403131,165.203529,208.5686027,265.4824598,132.6458342,121.88212,64.56674274,238.598145,226.626381,134.1009054,305.3170972,224.230129,245.6723181,238.4429588,88.5394035,115.1465548,125.794679,64.148023,135.3954677,121.892945,46.15528992,171.2207553,172.5917859,169.9780374,161.48887,208.275984,149.926196,87.94417764,142.1320908,57.345017,403.645405,53.01807956,111.8086069,175.1146933,78.442448,123.2741731,48.44679532,6.32058532,65.18811443,62.94712237,85.93517738,167.8819357,56.88653887,259.6224304,82.6152599,67.02726712,53.17796601,143.829909,140.7061114,138.3957934,78.86639245
Campeche,12.106731,11.945152,3.283206,3.169986,5.482184,-1.729174,7.530428,14.024778,19.339928,25.490069,36.610552,-29.805841,11.685871,38.501577,57.170907,83.560508,12.373199,12.3879,11.333505,29.611517,70.378951,5.350705,38.118389,35.199444,103.182767,13.217622,-1.507152,14.406821,15.215796,9.661519,9.161857,-3.886565,12.388787,60.701357,78.236347,-16.803359,13.404481,120.826068,1.359735,14.332727,-7.966593,28.16915919,6.358876,-0.661294,70.39198,-4.511572,9.65536915,-2.48063,30.994259,34.417721,-40.00997,25.141263,-41.9587527,-11.483306,249.4699935,13.647286,69.9935336,141.778468,27.62384481,39.053917,36.2230281,45.951743,89.72359126,44.68340245,117.5574925,68.90633911,252.1230864,81.83167424,72.32241346,33.4343932,45.68059788,65.55705038,102.3585058,40.4078774,105.8644641,63.1836144
Chiapas,16.965764,13.59268482,3.710797,-0.258857,6.476057,-17.303841,-2.633621,56.934017,14.349663,4.744511,143.010038,37.197349,67.896421,16.737015,95.806046,27.187322,24.368958,18.35117,5.028776,66.54280411,116.837905,31.520086,39.052265,44.793926,43.071514,58.779008,23.538159,16.687334,34.478525,28.131349,8.875299,17.771054,79.718061,22.283261,12.861299,72.013973,47.766641,26.879127,-22.658123,11.215538,25.493197,28.33051819,19.434381,18.623484,119.663712,22.681477,4.76053515,10.570112,25.11451838,35.776127,11.906758,19.997152,70.04230623,1.58633,17.406331,31.957559,64.23237518,76.801178,26.03024,26.090962,94.51718058,-48.64402714,-2.082266,-8.96818543,79.89495041,32.71206144,81.32039467,45.94501237,70.59644316,5.08813364,32.80258524,25.79123476,147.1425872,20.88906989,-1.31198766,36.81441595
Chihuahua,210.600338,231.28978,79.144698,113.980858,329.444448,446.548271,224.530714,386.632307,182.195888,187.387134,407.420483,299.364385,272.067416,398.67084,401.947283,289.753371,275.652912,385.177561,202.888629,256.040024,370.35088,281.325971,319.708591,487.450791,354.934501,376.706421,495.115123,465.155159,479.4173,574.866657,322.519984,571.410419,617.152028,306.08165,695.198368,648.72762,470.20145,800.12533,448.076815,906.643072,576.230713,272.699795,211.265829,364.323899,508.499642,477.719252,312.772307,559.373807,506.1982458,295.102119,233.352368,235.966244,555.510404,294.91302,270.97286,131.564608,839.0983399,661.528106,2.648997,842.9834156,712.1445007,494.1891722,307.1073335,332.0951696,348.8213763,447.1565886,1106.861658,571.7799807,440.2803971,407.8662674,506.1402868,606.1873691,524.2228562,486.917225,468.8263675,242.8720343
Ciudad de México,681.478078,1176.343831,885.492063,883.70536,988.943207,2400.139041,866.763815,1062.446213,773.187827,1590.756004,7277.34186,569.077305,1463.153139,2111.03592,780.419145,2116.487331,1032.630355,1046.592117,121.718869,1284.464494,2420.590829,800.56152,355.948018,1897.602199,1684.211788,1630.448258,968.515796,1955.884909,2797.089014,1595.666605,257.257472,822.411454,3284.266582,924.830615,993.693426,1727.990825,2703.209194,2181.829484,419.750827,2363.940872,1236.578341,2477.827586,597.0391951,1176.623928,1677.681098,886.9642006,758.788188,706.5949066,1433.234617,1801.233213,1332.532563,2007.834958,834.3365875,1166.371721,847.2660306,-1569.634044,1434.374328,2410.607394,596.5757129,1405.41986,3178.322303,264.5224194,670.7666885,1577.751044,2757.883312,1142.711496,792.7855252,928.5818676,3156.883871,993.931477,860.494773,941.4977523,2485.682382,799.6980919,845.9848687,442.3371429
Coahuila de Zaragoza,152.697613,54.214694,2.583649,272.196413,258.0387,99.664929,66.529038,86.984101,121.922214,262.272481,368.408037,377.265997,88.611798,147.138445,310.019153,339.030806,172.295881,284.283659,158.531425,208.837752,257.768528,147.812418,202.699772,233.249558,159.122516,264.86596,152.119799,66.043739,177.527759,174.890034,88.090936,167.768735,262.656568,87.878226,187.142107,128.613347,153.50655,162.045013,85.975946,181.555536,164.044762,95.77972,35.964736,87.989168,176.171496,187.183143,177.884882,209.96137,140.408626,217.163053,96.771503,218.478689,149.7092593,154.824578,100.153011,74.117807,241.5224861,1094.896852,-32.912718,438.184534,286.0810866,896.6121029,34.849217,340.269112,499.8910836,176.6504496,466.1021954,252.0196013,177.1522382,138.9829769,135.4199501,856.6631995,402.4129691,326.9880672,305.2442842,1227.489445
Colima,8.581086,3.724532,8.409011,10.931131,7.275843,-7.177172,6.741298,8.963763,3.621735,12.654631,64.465422,13.876597,-0.486768,8.391556,29.018093,28.526728,10.36321,23.351561,16.333397,24.691911,81.213292,10.428325,7.863332,57.235609,28.019048,9.858805,7.574069,6.730676,60.808792,18.61811,12.266598,14.511272,36.953273,9.216096,1.506425,70.001886,21.904732,127.190824,8.201502,29.984957,60.976726,16.17276,28.688436,28.736811,129.339666,75.980215,49.81111134,9.627306,14.18348629,95.168672,33.859596,10.358561,-8.54118072,27.217739,-5.207045,46.13674902,-1.67906519,53.052478,175.105815,-57.646554,124.2625906,17.82211039,26.341756,25.97205588,105.2082361,-5.45409248,33.76695865,9.83496199,42.95540513,-6.89496542,-41.16455625,-22.69546668,53.59214139,26.25338153,21.94668896,35.52847411
Durango,12.964528,11.057278,54.349114,87.694078,39.107017,11.839078,23.733758,36.754755,29.571896,107.854863,95.775483,55.653207,17.712147,32.523373,43.226443,79.058573,43.011144,15.782136,160.291265,87.32363,61.562276,9.949801,24.892337,-178.772963,54.679682,13.846336,2.949372,5.155311,28.621566,-48.434899,-3.098833,33.686546,56.231209,20.041604,154.906558,190.438231,71.170468,120.158278,122.316968,174.486375,25.27768,39.665062,49.74940139,12.676686,53.154603,53.842684,175.503066,130.446297,137.3600996,73.396802,5.758052,11.310668,88.53382085,13.955149,58.387023,106.519789,57.56019039,116.128568,-6.854551,280.209703,31.89442971,-18.787457,39.246386,21.78544502,59.5661084,46.83310385,96.22425201,15.06453866,70.59741885,123.1971261,20.99903833,50.75138623,17.91924113,5.13342344,27.45566483,20.5065515
